num,M1,M2,mu,WHnu,WHmuL,BHmuL,BHmuR,BmuLmuR,sum
102466,1054.87493,1244.78094,266.068903,3.08479156e-09,-6.5581604e-10,2.13125785e-10,-4.24955649e-10,1.68598206e-10,2.38574386e-09
102468,3399.27004,1185.52902,253.590554,3.39665807e-09,-7.18193898e-10,7.67724329e-11,-1.53089206e-10,1.56814852e-11,2.61782889e-09
102480,4774.59767,1031.432,294.470286,3.32488766e-09,-6.82997633e-10,4.79617428e-11,-9.57115703e-11,7.54428584e-12,2.60168449e-09
102486,1781.77439,1270.50596,284.615225,2.72349439e-09,-5.59909616e-10,1.18513286e-10,-2.36475393e-10,6.0803782e-11,2.10642645e-09
102502,3325.08142,1241.78166,275.260204,2.97598983e-09,-6.28150606e-10,7.20970283e-11,-1.43829356e-10,1.68881945e-11,2.29299509e-09
102510,1202.55447,1564.04317,293.423727,2.41553401e-09,-5.61342989e-10,1.99850644e-10,-3.98509271e-10,1.54975056e-10,1.81050745e-09
102512,2560.94999,1214.79915,289.139995,2.90364589e-09,-6.12244701e-10,8.91005878e-11,-1.77780216e-10,3.06456053e-11,2.23336716e-09
102516,3844.33872,1282.24437,252.664192,3.07914128e-09,-6.42123773e-10,6.5277989e-11,-1.30187612e-10,1.14394425e-11,2.38354733e-09
102524,1065.93996,1780.299,285.63498,2.14347896e-09,-4.95957964e-10,2.193753e-10,-4.37395642e-10,1.84929109e-10,1.61442976e-09
102526,4914.86139,1192.93778,272.364086,3.13010679e-09,-6.5773439e-10,4.97593908e-11,-9.92652613e-11,6.76463918e-12,2.42963117e-09
102528,3765.76909,1793.73818,262.181436,2.15387817e-09,-4.6601195e-10,6.52285057e-11,-1.30102673e-10,1.22278537e-11,1.63521991e-09
102540,4853.00438,1035.12285,271.139883,3.64558412e-09,-7.599234e-10,5.17299476e-11,-1.03188154e-10,7.0596926e-12,2.84126221e-09
